goal,lag,yrs,rgns,adj_r_squared,aic,intercept,factor_rgn_code_cc,factor_rgn_code_hg,factor_rgn_code_nc,factor_rgn_code_nv,factor_rgn_code_po,factor_rgn_code_sg,factor_rgn_code_wv,factor_year_2002,factor_year_2003,factor_year_2004,factor_year_2005,factor_year_2006,factor_year_2007,factor_year_2008,factor_year_2009,factor_year_2010,factor_year_2011,factor_year_2012,factor_year_2013,factor_year_2014,factor_year_2015,pressures,na,rmse,rsquared,mae,rmsesd,rsquaredsd,maesd
CSS,6,9,6,0.7342379445831333,-805.0906358535931,0.0003,0.0056*,0.0071*,0.0041*,0.0072*,NA,0.0007,0.0072°,-0.0001,-0.0002,-0.0002,-0.0001,0.0001,0.0002,0.0002,0.0002,0.0003,NA,NA,NA,NA,NA,-0.0003*,NA,7.437399417444178e-4,0.7382857379071686,5.027448195425169e-4,2.8176468387878915e-4,0.16356078184915138,1.3369971099405872e-4
CW,1,14,6,0.15166606912112957,-907.4667768642992,-0.0227*,-0.0045*,0.0005,0.0007,0.0006,NA,-0.0036°,-0.0015,0.0019,0.0007,-0.0002,0.0016,-0.0022,0.0026°,0.0002,-0.0008,-0.0019,0.0037*,-0.0006,0.0003,0.0003,0.0003,0.0007*,NA,0.0031738535223494436,0.13757755016684833,0.0020290357654488803,0.0011363530535798804,0.10039302541588446,5.449535346003801e-4
CW,2,13,6,0.15802316812007433,-828.2990031804266,-0.0307**,-0.0064*,0.0009,0.0008,0.0009,NA,-0.0048*,-0.0022,0.0005,-0.0017,-0.0008,-0.0030°,-0.0015,0.0006,-0.0027,-0.0046**,0.0001,0.0009,-0.0023,-0.0014,-0.0013,NA,0.0011**,NA,0.0036306778729653286,0.09264038006829514,0.002399351826403837,0.0010810996862348282,0.07641876242954876,5.072237638233458e-4
CW,3,12,6,0.13821347834322184,-761.441883007872,-0.0306*,-0.0063*,0.0011,0.0006,0.0008,NA,-0.0048°,-0.0027°,-0.0006,-0.0010,-0.0041*,-0.0010,-0.0021,-0.0010,-0.0052**,-0.0012,-0.0013,0.0006,-0.0026,-0.0017,NA,NA,0.0011**,NA,0.003656040125474437,0.09084674413894786,0.002322121658469887,0.001201775835424801,0.08213396334599694,5.334691358269174e-4
CW,4,11,6,0.12943310320483115,-717.9707288519666,-0.0234°,-0.0047°,0.0010,0.0002,0.0005,NA,-0.0034,-0.0027°,0.0012,-0.0033*,-0.0012,-0.0008,-0.0029°,-0.0026,-0.0009,-0.0017,-0.0006,0.0014,-0.0019,NA,NA,NA,0.0008*,NA,0.0033203183002699557,0.1311163958349179,0.0022219384876461783,0.0012234328461013008,0.1305557007399564,7.415591282886179e-4
CW,5,10,6,0.13960287149745676,-626.4457974554346,-0.0325°,-0.0065°,0.0017,0.0003,0.0008,NA,-0.0049,-0.0039°,-0.0028,-0.0019,-0.0024,-0.0029,-0.0058**,0.0002,-0.0028,-0.0025,-0.0015,0.0003,NA,NA,NA,NA,0.0011*,NA,0.004228584258578018,0.12576534996962313,0.0027463464945551553,0.0015825384850316527,0.11851277863367059,8.306143557428378e-4
CW,6,9,6,0.18320072410290056,-597.0737882122341,-0.0261°,-0.0047,0.0016,-0.0001,0.0005,NA,-0.0037,-0.0054**,0.0024,0.0006,-0.0009,-0.0024,0.0005,0.0020,-0.0000,0.0003,0.0014,NA,NA,NA,NA,NA,0.0008°,NA,0.003342965889375448,0.17625474139649291,0.002220011142759487,0.0013255550865345802,0.1372058026691703,6.669599176835954e-4
FIS,1,14,6,0.5977606915749093,15.28474625315146,-0.8324**,0.8678*,0.9181*,0.8821**,0.8220*,-0.1836,NA,0.7593**,0.1084,0.2769°,0.3987*,0.5102**,0.3581*,0.2866*,0.0432,0.2558°,0.1968,0.0765,0.0334,0.0619,0.0540,0.0954,-0.0092,NA,0.28051302354826246,0.45952381101758527,0.22617480875929083,0.04689643930773919,0.2026714944337436,0.04432123243564335
FIS,2,13,6,0.0029779776711023054,216.19860350361748,0.1668,0.9063,1.0259,0.7732,0.8334,1.3282*,NA,0.5941,0.2068,0.4896,0.7822,0.7419,0.4039,-0.2362,0.0746,-0.2697,0.6316,0.1346,-0.4259,0.0011,-0.1013,NA,-0.0528,NA,0.9639590111304064,0.07626549578952545,0.5726390131230527,0.4768176232332539,0.09660236906046135,0.14716729769127562
FIS,3,12,6,0.3607788437893682,121.09151839143182,-0.6588,-0.1073,-0.1478,0.1059,-0.1552,0.1186,NA,-0.0244,0.3608,0.9405**,1.1138***,0.8190*,0.2272,-0.0022,0.0457,0.4215,-0.0456,-0.0626,-0.1753,-0.0921,NA,NA,0.0254,NA,0.5866048566691551,0.26593292490694387,0.4447104690101637,0.1606802500806814,0.1960568624183652,0.09256128414023904
FIS,4,11,6,0.47074215563038746,121.07659038363272,-0.4044,-0.6538,-0.7578,-0.3896,-0.7033,-0.7916*,NA,-0.4548,0.5791°,1.1496**,1.0909**,0.4776,0.0830,-0.1867,-0.3080,-0.1424,-0.2968,0.1639,-0.1571,NA,NA,NA,0.0437,NA,0.643326607116017,0.3143541568524858,0.4969313063229618,0.157027741076542,0.20071783634243953,0.10740140772869637
FIS,5,10,6,0.4759114792981355,109.70359476519423,-1.0119,-1.8363°,-2.0724°,-1.2922°,-1.8491°,-0.4413,NA,-1.2081°,0.6301°,1.0998**,0.6893*,0.2702,-0.1086,-0.3948,-0.3669,-0.3204,-0.2345,-0.3039,NA,NA,NA,NA,0.1273*,NA,0.6211161202320268,0.3422806618591168,0.49346601689930336,0.11846460317535826,0.1958617874036164,0.09998161804058595
FIS,6,9,6,0.6425454650679713,81.73837018080506,-1.5048*,-1.9985*,-2.2864*,-1.4488°,-1.9995*,-0.5305,NA,-1.2053°,0.5618*,0.6766*,0.5020°,0.1236,-0.3715,-0.6002*,-0.7026*,-0.4358,-0.4470,NA,NA,NA,NA,NA,0.1626**,NA,0.5063664656236256,0.5806637930874349,0.40509816325520154,0.08001933849906191,0.12366291903328101,0.07232287744431895
HAB,1,14,7,0.03739467414982833,-550.8163303727848,-0.0098,-0.0182,-0.0166,-0.0097,-0.0167,-0.0031,-0.0100,-0.0114,0.0002,0.0009,0.0010,0.0033,-0.0190°,-0.0108,0.0152,0.0103,0.0027,-0.0056,-0.0035,0.0246°,-0.0118,0.0029,0.0010,NA,0.02332133024195518,0.054053177910074635,0.014548787420567288,0.009198924505287162,0.06505636973919074,0.0032760233848513256
HAB,2,13,7,0.13172462029256882,-494.24362546012435,-0.0270,-0.0467,-0.0431,-0.0263,-0.0451,-0.0087,-0.0277,-0.0310,0.0006,0.0025,0.0049,-0.0153,-0.0287*,0.0045,0.0261*,0.0142,-0.0013,-0.0075,0.0216,0.0121,-0.0058,NA,0.0027,NA,0.02646898174383276,0.10483763896553587,0.01824306093406763,0.008492966187954486,0.08205254337052736,0.004155985332379765
HAB,3,12,7,0.21281816035442003,-481.94493980612447,-0.0403,-0.0698*,-0.0633*,-0.0388°,-0.0674°,-0.0131,-0.0336°,-0.0462°,0.0010,0.0059,-0.0141,-0.0256*,-0.0143,0.0144,0.0282*,0.0087,-0.0041,0.0154,0.0082,0.0159,NA,NA,0.0040°,NA,0.023998360028775322,0.15840208058882435,0.01720918927127728,0.005760404778104117,0.12134500320513728,0.0032224744700417403
HAB,4,11,7,0.2519544664777862,-451.4291874377047,-0.0632*,-0.1077**,-0.0979**,-0.0618**,-0.1062**,-0.0210°,-0.0580**,-0.0733**,0.0038,-0.0123,-0.0236*,-0.0104,-0.0038,0.0175,0.0230*,0.0074,0.0208°,0.0048,0.0141,NA,NA,NA,0.0063**,NA,0.02393200728235797,0.1848445413285797,0.01875860937162202,0.004005633838333708,0.12534646463772742,0.0025653117191062696
HAB,5,10,7,0.25222983321897263,-388.37917109858614,-0.0911**,-0.1542***,-0.1409***,-0.0908**,-0.1557**,-0.0313*,-0.0826**,-0.1074**,-0.0181,-0.0235°,-0.0100,-0.0015,-0.0024,0.0105,0.0185,0.0319*,0.0094,0.0093,NA,NA,NA,NA,0.0092**,NA,0.026765345270511224,0.20291392447968384,0.019038223537020872,0.006333947817793322,0.14998824772636785,0.0038725523665727795
HAB,6,9,7,0.3537761692008453,-341.8280047763184,-0.1503***,-0.2085***,-0.1909***,-0.1262***,-0.2154***,-0.0448**,-0.1113***,-0.1495***,-0.0086,0.0131,0.0220,0.0226°,0.0141,0.0291*,0.0653***,0.0432**,0.0379*,NA,NA,NA,NA,NA,0.0129***,NA,0.027805513701959564,0.32552550502843025,0.01975105160428453,0.00958844350357555,0.18587340156900498,0.0050068306172123475
ICO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   NA,NA,NA,NA,NA,NA,NA
ICO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   NA,NA,NA,NA,NA,NA,NA
ICO,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   NA,NA,NA,NA,NA,NA,NA
ICO,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   NA,NA,NA,NA,NA,NA,NA
ICO,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   NA,NA,NA,NA,NA,NA,NA
ICO,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   NA,NA,NA,NA,NA,NA,NA
LSP,1,14,5,0.1996402722838786,113.22377317648856,-0.2077,NA,-0.0798,0.2296,-0.1054,NA,-0.1109,-0.1547,0.0149,0.2079,0.0058,0.9553***,0.1179,0.4263°,0.0108,0.0226,0.0237,0.0040,0.0075,0.0076,0.0096,0.0056,0.0100,NA,0.4275147233214217,0.20285080248564952,0.26453143413978936,0.17797395625570134,0.18026521541488635,0.06113060342695442
LSP,2,13,5,0.2924795163172115,167.03723110332015,-0.1997,NA,-0.2430,0.4080,-0.2880,NA,-0.3363,-0.4092,0.2061,0.1982,0.9468**,1.1889***,0.5747°,0.4196,0.0163,0.0308,0.0135,-0.0062,-0.0025,-0.0019,0.0010,NA,0.0146,NA,0.6655277184217858,0.22178601734845785,0.47174300228754196,0.15776388841915673,0.12965766256290687,0.08730361100204095
LSP,3,12,5,0.2720565628311795,273.48365358168644,-1.0276,NA,-0.4427,1.1902,-0.5427,NA,-0.4993,-0.7281,0.0131,1.6792*,1.0122,2.1125**,0.4094,0.2716,-0.1377,-0.1390,-0.1612,-0.1905,-0.1759,-0.1710,NA,NA,0.0578,NA,1.436141537736608,0.24306093401432063,0.9895503100442167,0.3875185162464142,0.1494676119492891,0.1368805012868882
LSP,4,11,5,0.3202827790126679,293.15239425612197,-1.2692,NA,-0.7898,1.7841,-0.9478,NA,-0.9254,-1.2298,1.6787°,1.9816*,2.1231*,2.1294*,0.4535,0.2976,-0.1261,-0.1257,-0.1513,-0.1840,-0.1649,NA,NA,NA,0.0751,NA,1.8801383954718793,0.25253648691271463,1.4486733795953446,0.40204912842343493,0.12917092426786708,0.2734523766575576
LSP,5,10,5,0.3681377956698486,305.0320414691532,-0.5630,NA,-1.1124,2.8810,-1.3770,NA,-1.2863,-1.7603,0.3199,1.9031,0.4923,0.5244,-1.1590,-1.3423,-1.7567,-1.7553,-1.7869,-1.8280,NA,NA,NA,NA,0.1179,NA,2.499340403392465,0.2746442934537989,1.904104927001847,0.5581711094540862,0.1662190724809849,0.33179036763066794
LSP,6,9,5,0.3974659194193091,294.2487393221918,2.8605,NA,-1.9075,2.5731,-2.1504,NA,-2.5421,-2.6773,1.5665,1.5658,0.1720,0.1868,-1.5303,-1.6904,-2.1252,-2.1283,-2.1459,NA,NA,NA,NA,NA,0.0177,NA,2.778195527105543,0.3396081508208013,2.0962932595495807,0.8231699014730485,0.1875890635141192,0.4437849295507828
LVF,1,14,5,0.5706627724169147,-525.8409463518364,0.0122,NA,0.0019,0.0144**,0.0073°,NA,0.0003,-0.0003,-0.0005,-0.0010,-0.0017,-0.0024,0.0269***,0.0267***,0.0264***,0.0262***,0.0260***,0.0291***,0.0287***,0.0282***,0.0277***,0.0272***,-0.0003,NA,0.013245844554678539,0.49472430607677353,0.010800318502007078,0.0020013057656697326,0.09662809734188321,0.001750911514618116
LVF,2,13,5,0.5859790634122297,-383.4901591350912,0.1108,NA,0.0049,0.0320***,0.0150°,NA,-0.0026,0.0013,-0.0006,-0.0015,-0.0028,0.0252°,0.0551***,0.0544***,0.0538***,0.0533***,0.0558***,0.0586***,0.0576***,0.0566***,0.0555***,NA,-0.0015,NA,0.025618739453317198,0.5142402519295672,0.020489724052347447,0.0035636744486637977,0.11995033832880546,0.003004505451500854
LVF,3,12,5,0.6041471544932348,-301.62438655629086,0.2684,NA,0.0093,0.0534***,0.0233°,NA,-0.0071,0.0050,-0.0005,-0.0016,0.0253,0.0539**,0.0843***,0.0832***,0.0822***,0.0841***,0.0861***,0.0882***,0.0867***,0.0851***,NA,NA,-0.0033,NA,0.035948397742314335,0.5430057526737215,0.028405856888425677,0.004659146131856093,0.1135860876720356,0.004157231161798963
LVF,4,11,5,0.6327086328942824,-248.46100401059073,0.4468,NA,0.0155,0.0794***,0.0323*,NA,-0.0119,0.0114,-0.0002,0.0268,0.0542*,0.0833***,0.1144***,0.1128***,0.1139***,0.1152***,0.1166***,0.1180***,0.1160***,NA,NA,NA,-0.0053,NA,0.042392417295890134,0.5847587654540871,0.03322973276595565,0.009516886461787843,0.11831178247887508,0.0080908742366867
LVF,5,10,5,0.6818601902327958,-215.4692204359728,0.5812,NA,0.0238,0.1111***,0.0420*,NA,-0.0146,0.0211,0.0277,0.0557*,0.0836**,0.1132***,0.1449***,0.1452***,0.1457***,0.1464***,0.1471***,0.1480***,NA,NA,NA,NA,-0.0069,NA,0.04839098048125122,0.6271612036740646,0.037557176254845226,0.011324180723640305,0.12088894594629856,0.008444000831141411
LVF,6,9,5,0.7766266857135637,-205.68133283727042,0.5442,NA,0.0353°,0.1499***,0.0527**,NA,-0.0113,0.0349*,0.0280,0.0564*,0.0848***,0.1151***,0.1494***,0.1493***,0.1494***,0.1497***,0.1500***,NA,NA,NA,NA,NA,-0.0065,NA,0.043129326601066754,0.7180340990966304,0.03427856592220996,0.010995840226136758,0.17278639727147824,0.009539895968917007
LVN,1,14,5,0.028617024095619614,-545.497028937006,-0.0343,NA,0.0055,0.0161*,0.0130,NA,0.0199°,0.0217°,-0.0015,-0.0016,-0.0014,-0.0033,0.0105°,0.0083,0.0073,0.0074,0.0076,0.0078,0.0058,0.0050,0.0040,0.0041,0.0003,NA,0.012373186616004435,0.06283813637751237,0.009619344158748967,0.002230225460512011,0.06919433845566632,0.0017763844569769261
LVN,2,13,5,0.003455267090177405,-402.9419093127848,-0.0578,NA,0.0096,0.0261°,0.0203,NA,0.0329,0.0360,-0.0016,-0.0016,-0.0035,0.0082,0.0203°,0.0171,0.0163,0.0166,0.0168,0.0153,0.0125,0.0107,0.0098,NA,0.0004,NA,0.022565028761034122,0.025620963008523904,0.017247030186269857,0.00252698614838287,0.03740970390264561,0.0023478384850205056
LVN,3,12,5,-0.02053441727624472,-319.67948039806527,-0.0708,NA,0.0124,0.0304,0.0226,NA,0.0395,0.0434,-0.0017,-0.0037,0.0079,0.0177,0.0291°,0.0261,0.0255,0.0258,0.0242,0.0221,0.0183,0.0167,NA,NA,0.0005,NA,0.03340062926825085,0.062417030730776785,0.02514506288728371,0.007339259672400619,0.06886406245428044,0.005504280638347034
LVN,4,11,5,-0.04294738877984505,-263.81832073488056,-0.0761,NA,0.0143,0.0299,0.0210,NA,0.0412,0.0455,-0.0037,0.0075,0.0171,0.0262,0.0380°,0.0353°,0.0346°,0.0330,0.0309,0.0280,0.0244,NA,NA,NA,0.0005,NA,0.038327444866711656,0.056446859888120135,0.028336310350143373,0.008592145794392604,0.07207654814154185,0.0054548963294608335
LVN,5,10,5,-0.06202703536657639,-226.2404030877948,-0.0802,NA,0.0159,0.0255,0.0171,NA,0.0397,0.0442,0.0094,0.0187,0.0276,0.0370,0.0492*,0.0462*,0.0438°,0.0416°,0.0387°,0.0363,NA,NA,NA,NA,0.0005,NA,0.045834899171855396,0.05881364407748735,0.03384395573060595,0.01701858027237373,0.07145056391948588,0.011745882533738303
LVN,6,9,5,-0.08174152778017363,-205.81183222989318,-0.0599,NA,0.0142,0.0131,0.0071,NA,0.0302,0.0345,0.0074,0.0160,0.0251,0.0348,0.0467*,0.0419°,0.0389°,0.0361,0.0336,NA,NA,NA,NA,NA,0.0004,NA,0.04455586848158071,0.1064400902635032,0.032242533611737116,0.010943825616604438,0.16929631117697538,0.007889137359117934
MAR,1,3,4,0.2637350056311608,91.60472677992006,-34.1741,NA,5.8252*,NA,3.0386,NA,4.7720,5.3348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5662,1.8166,5.1986*,NA,1.0102,NA,2.577911873377365,0.5153399857652258,1.931850754220837,1.3058600057568488,0.3878098376261552,0.8416159979952584
MAR,2,2,4,0.3933525798309532,47.97340602275693,-12.3308,NA,2.9087,NA,0.6588,NA,1.3268,1.5840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0389,1.9754,NA,NA,0.3666,NA,1.4205289820799702,0.6984871389559452,1.1808467265331888,0.4250864411410385,0.32043543306122557,0.3389889266919587
MAR,3,1,4,-0.1887186544138455,63.93900303660443,-54.7520,NA,12.3720,NA,3.3694,NA,6.7976,6.5773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6381,NA,NA,NA,1.6229,NA,10.198018940084763,1,8.64604494703269,6.261279257723447,0,6.032076654116015
SAL,1,12,6,1,-6273.635640200826,-0.2705***,-0.0000,-0.0000,-0.0000,-0.0000,NA,-0.0000,-0.0000,NA,NA,0.2524***,0.4773***,-0.1795***,0.7716***,0.1307***,0.4398***,0.3867***,-0.0115***,0.1395***,1.0133***,-0.0657***,0.9828***,0.0000,NA,2.0525365406270416e-16,1,1.5995768091574163e-16,5.562255842251839e-17,0,4.6155010284657234e-17
SAL,2,11,6,1,-5829.881234045435,-0.2837***,-0.0000,-0.0000,-0.0000°,-0.0000,NA,-0.0000,-0.0000,NA,NA,0.4687***,-0.0526***,0.1092***,0.5749***,0.2895***,0.5888***,0.0851***,-0.0924***,0.7982***,0.4406***,0.4203***,NA,0.0000,NA,1.675102641275042e-16,1,1.3033161718520187e-16,5.980764395164221e-17,0,4.7104473816331196e-17
SAL,3,10,6,1,-5356.305002920263,-0.1356***,-0.0000,-0.0000,-0.0000,-0.0000,NA,-0.0000,-0.0000,NA,NA,-0.2127***,0.1318***,-0.1543***,0.6454***,0.2582***,0.0727***,-0.1680***,0.2230***,0.1409***,1.1165***,NA,NA,0.0000,NA,1.5958103457306156e-16,1,1.2221013912568045e-16,6.326039832726101e-17,0,4.939212331342799e-17
SAL,4,9,6,1,-4824.15048849672,-0.5247***,-0.0000,-0.0000,-0.0000,-0.0000,NA,-0.0000,-0.0000,NA,NA,0.5028***,0.3815***,0.3549***,1.2098***,0.3307***,0.3389***,0.7383***,0.2464***,1.2460***,NA,NA,NA,0.0000,NA,2.8895749907850226e-16,1,2.296049047369466e-16,8.557606962223545e-17,0,6.683301611528009e-17
SAL,5,8,6,1,-4406.554006031732,-0.2865***,0.0000,0.0000,0.0000,0.0000,NA,0.0000,0.0000,NA,NA,0.1278***,0.2884***,0.2132***,0.4964***,-0.0131***,0.7056***,0.0921***,0.5223***,NA,NA,NA,NA,-0.0000,NA,2.011526260734468e-16,1,1.6807938951873709e-16,7.638439811878734e-17,0,6.836244799859269e-17
