goal,model,lag,yrs,rgns,adj_r_squared,aic,model_error,intercept,factor_rgn_code_cc,factor_rgn_code_hg,factor_rgn_code_nc,factor_rgn_code_nv,factor_rgn_code_po,factor_rgn_code_sg,factor_rgn_code_wv,factor_year_2002,factor_year_2003,factor_year_2004,factor_year_2005,factor_year_2006,factor_year_2007,factor_year_2008,factor_year_2009,factor_year_2010,factor_year_2011,factor_year_2012,factor_year_2013,factor_year_2014,factor_year_2015,res_ecol,res_reg,res_soc,rmse,rsquared,mae,rmsesd,rsquaredsd,maesd
AO,d_prs ~ res_reg + factor(year) + factor(rgn_code),1,14,6,0.31838865199687716,-249.89837089578134,NA,-0.0603°,0.0050,0.0163,-0.0131,0.0163,NA,0.0061,0.0267,0.0610°,0.0902*,0.1299***,0.1081**,0.0803*,0.0321,-0.0360,-0.0079,-0.0248,0.1197**,0.0477,0.0979**,0.0983**,0.0907*,NA,-0.0715,NA,0.07596294815504012,0.2258363563554675,0.05804188743872994,0.014151661773077065,0.17245680506756844,0.01031175679156648
AO,d_prs ~ res_ecol + factor(year) + factor(rgn_code),1,14,6,0.3041424059510107,-247.7264029816381,NA,-4.4928,-0.1376,-0.1447,-0.0126,-0.0999,NA,-0.0504,-0.0902,0.0611°,0.0933*,0.1332**,0.1196°,0.0845*,0.0360,-0.0385,-0.0149,-0.0308,0.1143**,0.0373,0.0819*,0.0816*,0.0745°,5.2739,NA,NA,0.07593625653007281,0.22342838338229343,0.058123695458529225,0.014658807162083757,0.13724467702975207,0.01056210640192867
AO,d_prs ~ res_soc + factor(year) + factor(rgn_code),1,14,5,0.3249573719880541,-223.2215252182545,NA,-0.2517,NA,-0.0270,-0.0019,0.0031,NA,-0.0249,-0.0104,0.0834*,0.0846*,0.1326***,0.1032**,0.0791°,0.0340,-0.0321,-0.0184,-0.0273,0.1092**,0.0336,0.1069**,0.0525,0.0640°,NA,NA,0.3075,0.07377783125121176,0.21556402341683611,0.056881999502484494,0.01234365519234184,0.13989384095669904,0.01097944319219279
AO,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),1,14,6,0.3101237247021603,-247.9055859312894,NA,1.5128,0.0561,0.0693,-0.0100,0.0600,NA,0.0289,0.0645,0.0610°,0.0887*,0.1284**,0.1036,0.0788°,0.0307,-0.0375,-0.0078,-0.0261,0.1184**,0.0464,0.0988*,0.0993*,0.0918*,-1.8801,-0.0724,NA,0.07882647978322725,0.19561592760602972,0.06034520957116416,0.016605674791653112,0.16735890002880144,0.01158465579080963
AO,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),1,14,5,0.334228150860282,-223.78000903095904,NA,0.0770,NA,0.0319,-0.0252,0.0201,NA,0.0232,0.0386,0.0802*,0.0799*,0.1245**,0.0921*,0.0640,0.0226,-0.0311,-0.0138,-0.0148,0.1245**,0.0548,0.1274**,0.0734°,0.0844*,NA,-0.0863,-0.2195,0.07523008208748509,0.2038045094467423,0.05855575635928962,0.011556250039064492,0.14460720564590843,0.008956204274128417
AO,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),1,14,5,0.31518650199798093,-221.24205470508434,NA,-3.1501,NA,-0.0322,0.0838,0.0149,NA,0.0227,0.0119,0.0836*,0.0876°,0.1358**,0.1118,0.0825°,0.0372,-0.0290,-0.0182,-0.0246,0.1118**,0.0362,0.1060**,0.0513,0.0629°,3.3389,NA,0.3317,0.07098964884307037,0.2595441845856628,0.05491000935955461,0.016921789177993755,0.19406935922137364,0.012981455615461594
AO,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),1,14,5,0.3267003209680224,-222.10145392500027,NA,12.5203,NA,0.0633,-0.3954,-0.0276,NA,-0.1726,-0.0489,0.0791*,0.0662,0.1097*,0.0538,0.0471,0.0071,-0.0442,-0.0142,-0.0245,0.1159**,0.0471,0.1346**,0.0816°,0.0926*,-14.2749,-0.1000,-0.4065,0.07490219382019433,0.2081361898149544,0.05760134537231056,0.012537081687937865,0.15733296606505978,0.00881364731114878
AO,intercept only,1,14,6,0.3120441315664446,-249.66803883078154,NA,-0.0806**,0.0058,0.0038,-0.0037,0.0231,NA,0.0138,0.0156,0.0611°,0.0890*,0.1289***,0.1070**,0.0802*,0.0319,-0.0428,-0.0149,-0.0350,0.1102**,0.0332,0.0839*,0.0840*,0.0768*,NA,NA,NA,0.07422586886030183,0.2578358920160498,0.057020931844302375,0.011425609489866956,0.14952133529074682,0.008989262078066673
AO,d_prs ~ res_reg + factor(year) + factor(rgn_code),2,13,6,0.4810730858223975,-184.99362085799805,NA,-0.0698,0.0114,0.0288,-0.0189,0.0384,NA,0.0163,0.0499,0.0826°,0.1575***,0.1762***,0.1263**,0.0485,-0.0695,-0.0996*,-0.0948*,0.0210,0.0921°,0.0735,0.1165*,0.1204*,NA,NA,-0.1039,NA,0.0985035413633286,0.3774483609313957,0.07963997028955681,0.012155445497480533,0.13507359548557635,0.010532267533990749
AO,d_prs ~ res_ecol + factor(year) + factor(rgn_code),2,13,6,0.47392960856084876,-183.65376730504147,NA,-31.2232,-0.9992,-1.0365,-0.0678,-0.8211,NA,-0.4261,-0.7159,0.0827°,0.1865**,0.2054***,0.2138*,0.0782,-0.0405,-0.0796,-0.1051*,0.0354,0.1075°,0.0817,0.0818°,0.0831°,NA,37.2030,NA,NA,0.09928652801245175,0.3654746765151055,0.08052562081772029,0.01489453547544968,0.17285333539681808,0.011074347354662162
